country,region,access_pct,renewable_pct,households_surveyed
Kenya,Africa,76.5,89.2,1850
Kuwait,Asia,100,<0.1,920
Peru,South America,95.1,57.4,1640
Mongolia,Asia,..,7.8,1210
Chad,Africa,11.8,-,n/a
Norway,Europe,100,98.3,1430
Bolivia,South America,97.6,32.5,1380
Brunei Darussalam,unknown,100,<0.1,610
Nepal,Asia,94.1,99.6,1720
Uruguay,South America,100,93.1,1150
Madagascar,Africa,..,40.2,2030
Poland,Europe,100,26.8,1560
Viet Nam,Asia,100,,1990
Honduras,North America,94.8,63.7,1270
Ethiopia,Africa,,74.3,2240
Portugal,Europe,100,61.5,n/a
Morocco,Africa,100,21.4,1480
Laos,unknown,..,-,1330
Guatemala,North America,98.1,58.9,1410
Iceland,Europe,100,99.9,540
Jamaica,North America,99.2,13.6,870
Zambia,Africa,47.8,85.1,1760
Paraguay,South America,99.8,99.7,1190
Cambodia,Asia,92.6,45.3,1620
